,0
1074,1074:1747668448935:
1075,1075:1747668448936:
1076,1076:1747668448936:
1077,1077:1747668448936:
1078,1078:1747668448936:
1079,1079:1747668448936:
1080,1080:1747668448936:
1081,1081:1747668448936:
1082,1082:1747668448936:
1083,1083:1747668448936:
1084,1084:1747668448936:
1085,1085:1747668448936:
1086,1086:1747668448936:
1087,1087:1747668448936:
1088,1088:1747668448937:
1089,1089:1747668448937:
1090,1090:1747668448937:
1091,1091:1747668448937:
1092,1092:1747668448937:
1093,1093:1747668448937:
1094,1094:1747668448937:
1095,1095:1747668448937:
1096,1096:1747668448937:
1097,1097:1747668448937:
1098,1098:1747668448937:
1099,1099:1747668448937:
1100,1100:1747668448937:
1101,1101:1747668448937:
1102,1102:1747668448937:
1103,1103:1747668448939:
1104,1104:1747668448939:
1105,1105:1747668448939:
1106,1106:1747668448939:
1107,1107:1747668448939:
1108,1108:1747668448939:
1109,1109:1747668448939:
1110,1110:1747668448939:
1111,1111:1747668448939:
1112,1112:1747668448941:
1113,1113:1747668448941:
1114,1114:1747668448941:
1115,1115:1747668448943:
1116,1116:1747668448943:
1117,1117:1747668448943:
1118,1118:1747668448943:
1119,1119:1747668448943:
1120,1120:1747668448943:
1121,1121:1747668448943:
1122,1122:1747668448943:
1123,1123:1747668448943:
1124,1124:1747668448949:
1125,1125:1747668448949:
1126,1126:1747668448949:
1127,1127:1747668448949:
1128,1128:1747668448950:
1129,1129:1747668448950:
1130,1130:1747668448950:
1131,1131:1747668448952:
1132,1132:1747668448952:
1133,1133:1747668448952:
1134,1134:1747668448952:
1135,1135:1747668448952:
1136,1136:1747668448952:
1137,1137:1747668448952:
1138,1138:1747668448952:
1139,1139:1747668448954:
1140,1140:1747668448954:
1141,1141:1747668448954:
1142,1142:1747668448954:
1143,1143:1747668448954:
1144,1144:1747668448954:
1145,1145:1747668448958:
1146,1146:1747668448958:
1147,1147:1747668448958:
1148,1148:1747668448958:
1149,1149:1747668448958:
1150,1150:1747668448958:
1151,1151:1747668448958:
1152,1152:1747668448958:
1153,1153:1747668448958:
1154,1154:1747668448958:
1155,1155:1747668448958:
1156,1156:1747668448958:
1157,1157:1747668448958:
1158,1158:1747668448959:
1159,1159:1747668448959:
1160,1160:1747668448959:
1161,1161:1747668448959:
1162,1162:1747668448959:
1163,1163:1747668448959:
1164,1164:1747668448959:
1165,1165:1747668448960:
1166,1166:1747668448960:
1167,1167:1747668448960:
1168,1168:1747668448960:
1169,1169:1747668448960:
1170,1170:1747668448960:
1171,1171:1747668448960:
1172,1172:1747668448960:
1173,1173:1747668448960:
1174,1174:1747668448960:
1175,1175:1747668448960:
1176,1176:1747668448960:
1177,1177:1747668448960:
1178,1178:1747668448960:
1179,1179:1747668448960:
1180,1180:1747668448960:
1181,1181:1747668448960:
1182,1182:1747668448960:
1183,1183:1747668448960:
1184,1184:1747668448960:
1185,1185:1747668448961:
1186,1186:1747668448961:
1187,1187:1747668448961:
1188,1188:1747668448961:
1189,1189:1747668448961:
1190,1190:1747668448961:
1191,1191:1747668448961:
1192,1192:1747668448961:
1193,1193:1747668448961:
1194,1194:1747668448961:
1195,1195:1747668448961:
1196,1196:1747668448961:
1197,1197:1747668448961:
1198,1198:1747668448961:
1199,1199:1747668448961:
1200,1200:1747668448961:
1201,1201:1747668448961:
1202,1202:1747668448961:
1203,1203:1747668448961:
1204,1204:1747668448961:
1205,1205:1747668448961:
1206,1206:1747668448961:
1207,1207:1747668448961:
1208,1208:1747668448961:
1209,1209:1747668448961:
1210,1210:1747668448961:
1211,1211:1747668448961:
1212,1212:1747668448961:
1213,1213:1747668448962:
1214,1214:1747668448962:
1215,1215:1747668448962:
1216,1216:1747668448962:
1217,1217:1747668448962:
1218,1218:1747668448962:
1219,1219:1747668448962:
1220,1220:1747668448962:
1221,1221:1747668448962:
1222,1222:1747668448962:
1223,1223:1747668448962:
1224,1224:1747668448962:
